"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:YOR337W",3433.18526439252,1.04786063640778,0.256584446971936,4.08388212447806,4.42895033801269e-05,0.000261995945063367
"gene:YDR324C",4972.97137851849,1.53728379375231,0.376750074727813,4.08038085954711,4.49619701915069e-05,0.000265491669861546
"gene:YPL203W",3911.25636714759,-1.09680085830759,0.270008010926298,-4.06210487809186,4.86322178201938e-05,0.000285095980794709
"gene:YAL059W",2363.17229848472,1.57089514326969,0.386927308899633,4.05992316163233,4.90888676117972e-05,0.000286998020426962
"gene:YDR300C",2052.52909569242,1.10008145661544,0.271014049462819,4.05913073066111,4.92557334653545e-05,0.000287715329201662
"gene:YLR129W",4572.09326382888,1.47038625737184,0.362373533415268,4.05765355850871,4.95682248077522e-05,0.000288833929422322
"gene:YBL013W",571.745380545943,-1.11098946900005,0.274021821465129,-4.05438319860752,5.02667586222783e-05,0.000292049419185458
"gene:YOL021C",7989.51343975806,1.04784364112881,0.258446415688318,4.05439417040509,5.02643995740444e-05,0.000292049419185458
"gene:YLR175W",10122.0934707761,1.70816909033485,0.421358704794858,4.05395467305341,5.03589781159925e-05,0.000292324442486149
"gene:YJL143W",443.797741670111,1.02271336258425,0.252615183555246,4.04850313504843,5.15462438568678e-05,0.000298949854176118
"gene:YAL044C",4211.89409647553,1.16805817723377,0.288555122829616,4.04795508663858,5.16670573858555e-05,0.000299383936613947
"gene:YFL051C",63.9534397799946,1.99728411596224,0.493525636761306,4.04697135708925,5.18845872813069e-05,0.000300377170633913
"gene:YFR017C",4900.84211760441,-1.45386791188138,0.3592876559516,-4.04652897976889,5.19826918338594e-05,0.000300677861380041
"gene:YDL191W",3666.3647343155,1.12075016223413,0.277579188181629,4.03758714612564,5.40037859505863e-05,0.000311538226657368
"gene:YER088C-A",129.86991025881,1.23258345041923,0.30536736327858,4.0363954981488,5.4278686074656e-05,0.000312846975578969
"gene:YJL109C",23464.7590128186,1.57650911308077,0.390808506862061,4.03396826169195,5.48427287445597e-05,0.000315260981741675
"gene:YHR096C",72165.5891404249,-1.32080673511329,0.328233417515935,-4.02398617760839,5.7221277044794e-05,0.000328065297000654
"gene:YHR003C",2486.15299505065,1.00503022382559,0.249785752567494,4.02356905265852,5.73227666828705e-05,0.000328069577685005
"gene:YFL012W",1612.16339153676,-1.67014967389825,0.415432678623689,-4.0202655203519,5.81325843081099e-05,0.000332412222650325
"gene:YCR087C-A",1068.49690667326,1.73589802368142,0.431932661900605,4.01890891057662,5.84682677073117e-05,0.00033364750254991
"gene:YPL086C",4126.63330455322,1.36458627577202,0.339553062847119,4.01877180647436,5.85022950885916e-05,0.00033364750254991
"gene:YKR024C",2629.77108341828,1.2466165568268,0.310319609936872,4.01720199725824,5.88932395400908e-05,0.000335583262576213
"gene:YOR328W",21156.2147894504,-1.23186581437209,0.306856192105164,-4.01447272717871,5.95788319138072e-05,0.000338305956630014
"gene:YJL069C",2649.36334538903,1.26240154917634,0.314756865306459,4.01071966435815,6.05339511731529e-05,0.000343131091375757
"gene:YAL028W",1026.36085736078,-1.0212249829256,0.254647231178003,-4.0103518039501,6.06283443804696e-05,0.000343367310391303
"gene:YJL189W",4998.99878514537,1.56726616677842,0.391010399731975,4.00824675725436,6.11711869105388e-05,0.000346140695350425
"gene:YFL034C-A",2456.00769945129,1.06611410084101,0.266500884617257,4.00041486681045,6.323153231714e-05,0.000357178638318762
"gene:YHR185C",1596.94136239351,-1.77039751581136,0.442695035025252,-3.99913569328912,6.35742247217823e-05,0.000358492576288284
"gene:YDR371W",4678.86601271415,-1.33945079421396,0.335230963398148,-3.99560583734956,6.45290205487657e-05,0.000362620803135558
"gene:YLR333C",2148.92120696463,1.26220144255391,0.316115538939569,3.99284845910469,6.52842933452471e-05,0.000366233077138324
"gene:YPL033C",1630.46080168996,-1.71003847588602,0.428565507827903,-3.99014490119142,6.60329418072875e-05,0.000369478135730982
"gene:YLR022C",1935.85131817202,1.09949692723127,0.275575690253834,3.98981828265955,6.61239346053677e-05,0.000369669687626403
"gene:YDR500C",3869.70289460235,1.43424685414117,0.359820426166106,3.98600732432868,6.71944383946799e-05,0.000375010606053599
"gene:YKL026C",4068.5828474503,-1.30966912748227,0.328940220230626,-3.98148066710734,6.84872924975475e-05,0.000381898746606616
"gene:YNL112W",21837.8378300935,1.18427405538197,0.297530191830496,3.98034918102247,6.88141126637288e-05,0.000383392913412203
"gene:YDL061C",1712.16410489144,1.30744961575923,0.328517182817072,3.97985153941629,6.89583189463071e-05,0.000383867975467776
"gene:YGR144W",3689.03063240571,-1.56046156506119,0.392217807656851,-3.97855868499075,6.93342989960555e-05,0.000385631331649282
"gene:YJL038C",1172.40233002168,-1.73516103492619,0.436497332392514,-3.97519275871742,7.03222757190881e-05,0.000390792646551554
"gene:YHR080C",6562.00001081486,-1.04538732069251,0.26300558434723,-3.97477233529895,7.04466111813372e-05,0.00039081667685183
"gene:YPL093W",25327.8272895222,1.47496845927313,0.371079887377563,3.97480033126233,7.04383252333701e-05,0.00039081667685183
"gene:YGR108W",1562.52824864757,-1.26903370427021,0.319554369395197,-3.97126068616129,7.14932953081064e-05,0.000395612431896089
"gene:YNL160W",31113.4884693991,-1.367064440694,0.344226081348624,-3.97141447079796,7.14471518120612e-05,0.000395612431896089
"gene:YDR077W",250338.270396379,-1.18935093914537,0.299564921966313,-3.97026104170875,7.17939292215742e-05,0.000396938761477175
"gene:YPR054W",2335.46675830406,-1.39154762251886,0.351012868969887,-3.96437779219495,7.35876332172515e-05,0.000406510818612349
"gene:YGL047W",901.667415373762,-1.0297262069867,0.259761049997121,-3.96412859817942,7.36645361519677e-05,0.000406590783015056
"gene:YOR001W",6951.62685359904,1.05515989015238,0.266212827518075,3.96359521811824,7.38293963314738e-05,0.000407155680192116
"gene:YPL130W",11340.408213269,-1.58661428446549,0.400424388548202,-3.96233179057349,7.4221297080433e-05,0.000408970649648782
"gene:YKL129C",3578.38422320804,-1.03627888657309,0.261762622471266,-3.95884972724416,7.53116013403652e-05,0.000414277415143411
"gene:YNR038W",4106.97918500018,1.0680325193533,0.270486473313679,3.94856166472589,7.86221645635574e-05,0.000431758986342706
"gene:YIL103W",2014.31329362388,1.25584244311149,0.318546945203471,3.94240931210101,8.06671559548869e-05,0.000442243423176918
"gene:YDR273W",949.87514043083,-1.2426816996908,0.315407820204568,-3.9399203827122,8.15086554662153e-05,0.000446105775673496
"gene:YOR237W",564.185943695264,-1.61403219668094,0.409732752251502,-3.93923157914945,8.17429996449753e-05,0.00044701272601824
"gene:YLR063W",795.403672856529,1.22249054904493,0.31134702524955,3.92645649357042,8.62064765190143e-05,0.000469058297049574
"gene:YMR048W",566.832048927921,-1.0333199999387,0.263184930788597,-3.92621263247289,8.62938779104113e-05,0.000469141925568038
"gene:YOR335C",22241.8383716494,1.09590470421943,0.279226996465273,3.92478061968382,8.68088123317091e-05,0.000471154828930351
"gene:YOR341W",41681.0690377871,1.61328675682878,0.411147353010301,3.9238651179845,8.71395354947816e-05,0.000472556032204423
"gene:YLR227C",1278.75080176663,-1.18954670948897,0.303392191529405,-3.92082177030478,8.82475155092579e-05,0.000477768968006481
"gene:YOR145C",4039.49313253311,1.25127055631989,0.319187142404169,3.92017844733695,8.84834255392355e-05,0.00047864829778824
"gene:YMR072W",8622.56814260958,-1.11463485440126,0.284490953241804,-3.91799753805836,8.92876179793498e-05,0.000482597722738179
"gene:YGL104C",882.204970434933,-1.40598667844809,0.358953818030643,-3.91690130547119,8.96944475360862e-05,0.000484394640798117
"gene:YBR079C",10839.7326013952,1.24611535760273,0.31826349114399,3.9153575332301,9.02703364261138e-05,0.000487100829447622
"gene:YPL275W",649.650904094146,-1.32805153795204,0.339489866126446,-3.91190333044403,9.15715679651232e-05,0.000492800033697623
"gene:YJR077C",11472.4955871783,1.29950403822309,0.332331084622979,3.91026930176376,9.21932764184532e-05,0.000495424760159559
"gene:YJL130C",76987.7967354431,1.25915343265057,0.322510648904605,3.90422281226134,9.45286634742733e-05,0.000505472237444944
"gene:YLR081W",91.6236268446449,-2.02853138866887,0.519552072650302,-3.90438513375777,9.4465245451011e-05,0.000505472237444944
"gene:YNL318C",6170.00818149434,-1.42950037842561,0.366634747677588,-3.8989768086103,9.66000252881096e-05,0.000515697288021708
"gene:YGL126W",996.36426562516,1.0748864853241,0.275926747622775,3.8955501580934,9.79760831606146e-05,0.000522191677270935
"gene:YKL004W",3890.04312055624,1.00884804300656,0.25901794428519,3.89489633928905,9.82407342608763e-05,0.000523174081963277
"gene:YBR121C",15641.6615974575,1.09104455741281,0.280216735270894,3.89357386652178,9.87781059490826e-05,0.000525606049057496
"gene:YNL061W",10527.9336351165,1.51631711404005,0.390458830275116,3.88342379905113,0.000102995820079374,0.00054715479296653
"gene:YOR168W",8908.50342477617,1.01179066215865,0.261183481157623,3.8738692725672,0.000107120889665877,0.000567218174303947
"gene:YBR143C",11938.7193938182,1.2119760051543,0.31290906312765,3.87325312037983,0.0001073921882408,0.000568192787987268
"gene:YMR031C",11993.9184555338,-1.02558389543471,0.264906844665127,-3.87148885009433,0.000108172606234641,0.000571857292537511
"gene:YDR120C",2764.54223586721,1.09310779770399,0.282373182928893,3.87114592953134,0.000108324915585264,0.000572198033419974
"gene:YMR252C",658.412336612169,-1.00749674967314,0.260490389055656,-3.86769259827808,0.000109870044729006,0.000579889466223678
"gene:YNR015W",2003.17447910483,1.10858401545442,0.287506253831469,3.85586052713919,0.000115323229021488,0.000605725960174962
"gene:YGL111W",3721.16190079127,1.30730653227459,0.339424384070628,3.85153982338099,0.000117377437234574,0.00061552274453203
"gene:YGL225W",2088.06028036422,1.12558787626754,0.292335211901897,3.85033287281611,0.000117957398693063,0.000618066402001544
"gene:YBR126C",14227.2939580602,-1.27211248615862,0.330451009175762,-3.84962506040343,0.000118298771207231,0.000619356830283516
"gene:YGL099W",4346.12376017558,1.49820837349042,0.389421623007903,3.84726549573242,0.000119443512586156,0.000624847869456736
"gene:YOR167C",3900.429143707,1.35306278267654,0.352304517880905,3.8406058225286,0.000122731051132497,0.000639477868820762
"gene:YMR229C",26882.3767182987,1.5179886047477,0.395536615160216,3.8377954064577,0.000124143846552634,0.000645805808783791
