"term","gene"
"GO:0008033","PTA1"
"GO:0030846","PTA1"
"GO:0006546","GCV3"
"GO:0006730","GCV3"
"GO:0009249","GCV3"
"GO:0019464","GCV3"
"GO:0044281","GCV3"
"GO:0006879","BOL3"
"GO:0016226","BOL3"
"GO:0051604","BOL3"
"GO:0000741","SPC72"
"GO:0007020","SPC72"
"GO:0030953","SPC72"
"GO:0031122","SPC72"
"GO:0031578","SPC72"
"GO:0051301","SPC72"
"GO:0110121","SPC72"
"GO:1990734","SPC72"
"GO:0000001","GEM1"
"GO:0007005","GEM1"
"GO:0007264","GEM1"
"GO:0010821","GEM1"
"GO:0015886","GEM1"
"GO:0055091","GEM1"
"GO:1990456","GEM1"
"GO:0008150","AIM2"
"GO:0006355","OAF1"
"GO:0006631","OAF1"
"GO:0007031","OAF1"
"GO:0030435","OAF1"
"GO:0032000","OAF1"
"GO:0045944","OAF1"
"GO:0071400","OAF1"
"GO:0006457","FLC2"
"GO:0009272","FLC2"
"GO:0015883","FLC2"
"GO:0030148","FLC2"
"GO:0035350","FLC2"
"GO:0055074","FLC2"
"GO:0055085","FLC2"
"GO:0071476","FLC2"
"GO:0006085","ACS1"
"GO:0019427","ACS1"
"GO:0019654","ACS1"
"GO:0007031","PEX22"
"GO:0016562","PEX22"
"GO:0031398","PEX22"
"GO:1902499","PEX22"
"GO:0001403","GPB2"
"GO:0007124","GPB2"
"GO:0007165","GPB2"
"GO:0010255","GPB2"
"GO:0030437","GPB2"
"GO:0046580","GPB2"
"GO:0006457","CNE1"
"GO:0036503","CNE1"
"GO:0000055","ECM1"
"GO:0042254","ECM1"
"GO:0006066","BDH1"
"GO:0034079","BDH1"
"GO:0008150","BDH2"
"GO:0006520","GDH3"
"GO:0097054","GDH3"
"GO:0000128","FLO9"
"GO:0031589","FLO9"
"GO:0008150","YAL064W"
"GO:0015719","SEO1"
"GO:0035442","SEO1"
"GO:0042938","SEO1"
"GO:0055085","SEO1"
"GO:0000972","NUP60"
"GO:0000973","NUP60"
"GO:0006302","NUP60"
"GO:0006607","NUP60"
"GO:0006611","NUP60"
"GO:0006913","NUP60"
"GO:0008298","NUP60"
"GO:0015031","NUP60"
"GO:0016973","NUP60"
"GO:0030466","NUP60"
"GO:0031990","NUP60"
"GO:0034398","NUP60"
"GO:0051028","NUP60"
"GO:0051276","NUP60"
"GO:0060188","NUP60"
"GO:0000723","SWD1"
"GO:0006355","SWD1"
"GO:0031509","SWD1"
"GO:0000722","RFA1"
"GO:0000723","RFA1"
"GO:0000724","RFA1"
"GO:0006260","RFA1"
"GO:0006265","RFA1"
"GO:0006281","RFA1"
"GO:0006289","RFA1"
"GO:0006310","RFA1"
"GO:0006312","RFA1"
"GO:0007004","RFA1"
"GO:0007131","RFA1"
"GO:0010833","RFA1"
"GO:0016567","RFA1"
"GO:0030491","RFA1"
"GO:0043934","RFA1"
"GO:0045184","RFA1"
"GO:0000379","SEN34"
"GO:0006388","SEN34"
"GO:0008033","SEN34"
"GO:0006278","YAR009C"
"GO:0006310","YAR009C"
"GO:0015074","YAR009C"
"GO:0032196","YAR009C"
"GO:0071897","YAR009C"
"GO:1905047","BUD14"
"GO:0000282","BUD14"
"GO:0001100","BUD14"
"GO:0006355","BUD14"
"GO:0007010","BUD14"
"GO:0008360","BUD14"
"GO:0030837","BUD14"
"GO:0032465","BUD14"
"GO:0032880","BUD14"
"GO:0045944","BUD14"
"GO:0051301","BUD14"
"GO:0060627","BUD14"
