"term","overlap","gene_set_size","query_size","universe_size","p.value","genes","p.adjust","name"
"GO:0006418",2,2,751,6394,0.0137791955650586,"YDR341C;YHR020W",0.0551167822602343,"tRNA aminoacylation for protein translation"
"GO:0006412",2,4,751,6394,0.0703251769249846,"YDR341C;YHR020W",0.140650353849969,"translation"
"GO:0055085",2,17,751,6394,0.610323914049882,"YJR124C;YLL053C",0.813765218733176,"transmembrane transport"
"GO:0008150",30,544,751,6394,0.999999914637727,"YAR066W;YBL028C;YBL029W;YBL081W;YCR043C;YCR087C-A;YDR157W;YDR524C-B;YFL051C;YGR035C;YGR210C;YHR032W-A;YHR173C;YHR214W;YJR124C;YKL097C;YKR045C;YLL053C;YLR146W-A;YLR179C;YLR342W-A;YLR363W-A;YMR244W;YMR265C;YMR321C;YOL014W;YOL097W-A;YOR342C;YPL245W;YPR014C",0.999999914637727,"biological_process"
