"AE1","AE2","AE3","RT1","RT2","RT3","Geneid"
50.62249872834,63.5389170530795,52.9411543800505,48.5266115938095,50.7250730732241,41.1950585328814,"gene:YAL068C"
24536.8833289349,12672.4840122531,20539.8443706001,23552.2423862036,20822.6424965585,22279.2031003274,"gene:YAL067C"
86.2164431467041,192.633859637114,54.2646832395518,94.0822061512634,112.609662222557,113.515272401718,"gene:YAL066W"
9.49171851156376,5.04277119468885,6.61764429750631,3.96135604847425,10.1450146146448,4.57722872587571,"gene:YAL065C"
30.8480851625822,43.3678322743241,42.3529235040404,45.5555945574538,42.6090613815082,36.6178298070057,"gene:YAL064W-B"
3.16390617052125,1.00855423893777,1.32352885950126,1.98067802423712,0,2.74633723552543,"gene:YAL064C-A"
99.6630443714195,105.898195088466,136.32347252863,120.821359478465,94.3486359161968,101.614477714441,"gene:YAL063C"
2962.99812869315,3087.18452538851,6094.85039800331,9870.70893378571,10841.9771186709,9256.07192946587,"gene:YAL062W"
2941.64176204213,4661.53769237037,9013.2315332036,4884.35200776875,4675.8372358898,4445.40453857049,"gene:YAL061W"
12761.6155387975,23403.501114551,32160.4277570212,12972.450719741,16471.4457283373,13850.6941244999,"gene:YAL060W"
0.790976542630313,2.01710847787554,13.2352885950126,5.94203407271137,5.07250730732241,4.57722872587571,"gene:YAL059C-A"
1956.08498992476,981.32327448645,631.323265982102,3592.94993596614,3858.14905794942,3159.20326659942,"gene:YAL059W"
1145.33403372869,986.366045681139,1316.91121520376,1508.28631545657,1483.20113666107,1446.40427737673,"gene:YAL058W"
3.16390617052125,3.02566271681331,7.94117315700757,10.8937291333042,4.05800584585793,0.915445745175143,"gene:YAL056C-A"
7031.78146398349,7087.11063701571,9043.67269697212,5158.67591412559,4475.98044798129,5443.2404008114,"gene:YAL056W"
1284.54590523163,1095.28990348642,314.9998685613,350.580010289971,373.336537818929,315.828782085424,"gene:YAL055W"
117786.689892708,227558.075823051,327615.745650066,124816.387053351,122929.171088574,112493.634950102,"gene:YAL054C"
12555.170661171,13559.0031882794,15102.7878157689,19088.7844585853,18794.654075091,20321.0646513978,"gene:YAL053W"
5421.35322318817,4763.40167050309,6147.79155238336,3683.07078606893,3154.08504369307,4088.38069795219,"gene:YAL051W"
3389.33448517089,5562.1766277418,5173.67431179043,2660.05058655046,3070.89592385299,2759.15347595788,"gene:YAL049C"
2575.4196228043,2472.97499387541,3012.35168422487,2497.63498856301,2256.25125029701,2300.51515762513,"gene:YAL048C"
2.37292962789094,8.06843391150216,0,0,12.1740175375738,9.15445745175143,"gene:YAL047W-A"
1550.31402355541,1110.41821707049,823.234950609785,995.290707179155,964.790889852722,1151.63074743033,"gene:YAL047C"
245.993704758027,305.591934398144,293.82340680928,405.048655956492,546.816287729356,315.828782085424,"gene:YAL046C"
0.790976542630313,4.03421695575108,3.97058657850379,9.90339012118562,10.1450146146448,9.15445745175143,"gene:YAL045C"
913.577906738012,1730.67907401721,1034.99956812999,900.218162015773,1250.88030198571,855.026325993583,"gene:YAL044W-A"
2470.21974263447,3202.15970862742,2109.70500204501,5283.45862965253,7764.99418604914,4440.82730984462,"gene:YAL044C"
4105.95923279396,3213.25380525574,5041.32142584031,6063.84577120195,5397.14777499104,5910.11773085072,"gene:YAL043C"
34.0119913331035,55.4704831415774,105.882308760101,29.7101703635569,25.362536536612,53.0958532201583,"gene:YAL042C-A"
2429.08896241769,3098.27862201683,4170.43943628848,4649.64166189665,4755.98285134549,4705.39113020023,"gene:YAL042W"
4365.3995387767,3558.17935497245,4263.08645645357,3354.27823404557,3348.86932429425,3735.01864031458,"gene:YAL041W"
5479.09451080018,4631.28106520224,9047.64328355063,11887.0391624591,8945.8738871938,12159.8658331614,"gene:YAL040C"
1598.56359265586,1906.16751159239,1844.99923014476,3392.90145551819,3638.00224081163,3054.84245164945,"gene:YAL039C"
116015.693413759,163239.546343273,248583.866862668,123963.705163917,136011.167434159,149244.204390158,"gene:YAL038W"
6.32781234104251,8.06843391150216,2.64705771900252,10.8937291333042,0,11.9007946872769,"gene:YAL037C-B"
3.95488271315157,8.06843391150216,1.32352885950126,3.96135604847425,7.10151023025137,0.915445745175143,"gene:YAL037C-A"
261.022259068003,285.420849619389,162.794049718655,154.492885890496,116.667668068415,135.485970285921,"gene:YAL037W"
1108.15813622507,744.313028336074,1212.35243530316,3278.02213011244,2690.45787580381,2938.58084201221,"gene:YAL036C"
16109.028267209,7203.09437449355,9350.73139237642,19500.7654876266,18163.6341660601,20075.7251916909,"gene:YAL035W"
4.74585925578188,4.03421695575108,7.94117315700757,1.98067802423712,2.02900292292896,1.83089149035029,"gene:YAL034C-B"
594.023383515365,467.969166867125,271.323416197759,302.053398696161,281.016904825661,315.828782085424,"gene:YAL034W-A"
6005.09391164934,9297.8615287673,11259.2600077772,3108.67415904017,3263.65120153124,3510.73443274667,"gene:YAL034C"
325.882335563689,410.481575247672,199.852857784691,837.826804252303,1062.18303015331,623.418552464272,"gene:YAL033W"
2294.62295017054,1756.9014842296,1945.58742346686,1750.91937342562,1544.07122434894,1796.10455203363,"gene:YAL032C"
1.58195308526063,3.02566271681331,3.97058657850379,6.93237308482993,4.05800584585793,7.32356596140114,"gene:YAL031W-A"
3671.71311088991,3964.62671326437,4244.55705242055,2071.78921335203,1943.78480016595,2404.8759725751,"gene:YAL031C"
1022.732669621,2591.98439407007,2017.05798187992,1107.19901554855,1284.35885021403,962.133478179075,"gene:YAL030W"
6540.58503101006,3704.41971961843,6595.14430689479,6853.14596386045,5772.5133157329,7560.6664094015,"gene:YAL029C"
1010.86802148154,1458.36942950402,1657.05813209558,758.599683282818,664.498457259236,608.77142054147,"gene:YAL028W"
