"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:YPR007C",4153.47135454152,-3.49887266307541,0.185241596402755,-18.8881586588582,1.42738403623241e-79,9.2965522279817e-76
"gene:YMR133W",941.032707456768,-3.6856678336814,0.199095348617812,-18.5120740352226,1.65022717260878e-76,5.37396478760048e-73
"gene:YOR351C",2349.48616635311,-3.22390236407641,0.17921809880151,-17.9887097655633,2.38854579233339e-72,5.1855329151558e-69
"gene:YIL072W",4567.47535339334,-3.44884532958778,0.192828724588934,-17.8855372141257,1.52872664816166e-71,2.48914916486922e-68
"gene:YIL073C",5247.49939372218,-2.87707270843357,0.187042478914705,-15.3819213962918,2.16428498170601e-53,2.81919761717024e-50
"gene:YPL240C",12883.1011439759,-2.38006335317321,0.160423797294416,-14.8360990907429,8.5590494444502e-50,9.29084817195069e-47
"gene:YFL003C",1412.25769952087,-2.80135682498284,0.191517820544618,-14.627134002552,1.88564459362e-48,1.75445760546387e-45
"gene:YHR092C",2805.3809469231,3.52995597118655,0.242991145926385,14.5270970994802,8.16060835774996e-48,6.64375527925319e-45
"gene:YGL251C",3178.67297720361,-2.34205557935325,0.177172558101452,-13.2190650993036,6.81051803712193e-40,4.92854488619724e-37
"gene:YOL058W",38540.6950422698,3.24025877601755,0.247666575859166,13.0831492492556,4.11050474272774e-39,2.67717173893858e-36
"gene:YKL050C",8227.68588745383,-2.52549259353831,0.195996254299498,-12.8854125430334,5.43839158694358e-38,3.22002221870577e-35
"gene:YER179W",1576.56114427617,-3.29173040716548,0.256183381117888,-12.8491176625182,8.69968510893105e-38,4.72175409287233e-35
"gene:YMR305C",7889.61158971102,2.31658127504098,0.182983488563849,12.6600563429123,9.84286838124642e-37,4.93127705900446e-34
"gene:YER044C-A",865.081625804663,-2.78735539568001,0.222823314276606,-12.5092627974283,6.64379426541377e-36,2.97600251869249e-33
"gene:YKR093W",22791.2801409538,2.39015902146189,0.191108938912562,12.5067881966288,6.85399013978003e-36,2.97600251869249e-33
"gene:YBR186W",910.326607938269,-2.86144394051544,0.2294000364613,-12.4735984555877,1.04020355080778e-35,4.23427857900692e-33
"gene:YOL020W",3497.50549240383,2.0934639481281,0.169454833449036,12.3541117448132,4.62840084926367e-35,1.77322204301496e-32
"gene:YMR101C",2658.19991789074,-3.53474386398949,0.291853321135917,-12.1113710484156,9.19442986734608e-34,3.32685120700139e-31
"gene:YPL265W",18914.2771050151,2.40384753489672,0.19919518315707,12.0677995160216,1.56256837814578e-33,5.35631991940182e-31
"gene:YIR029W",770.051623711972,2.07818260150594,0.177868220817675,11.6838330757026,1.54182524516107e-31,5.02095391086701e-29
"gene:YML123C",10886.0857189014,3.7186542831982,0.324446058453047,11.4615486498085,2.05801581198928e-30,6.38278903975532e-28
"gene:YER054C",5701.05455898537,-2.14083116783385,0.187736949070493,-11.4033554845402,4.02308092650172e-30,1.19101482155935e-27
"gene:YPL061W",44175.4492418622,2.44279820064693,0.215525520057758,11.3341482715935,8.88926530950853e-30,2.51720804177518e-27
"gene:YNL210W",298.616847528603,-4.11101287246552,0.36408166524227,-11.2914581120967,1.44617408872325e-29,3.92455493327272e-27
"gene:YDR353W",7890.56812087671,2.04868295570432,0.184137973313412,11.1258037592135,9.3955203167833e-29,2.44772095292839e-26
"gene:YJL088W",8627.36076493447,2.1994333069574,0.199044725608642,11.0499451830835,2.19348777662646e-28,5.49468688044929e-26
"gene:YLR445W",1022.17581802396,-3.13790172518247,0.28649977750405,-10.95254506834,6.46064015310673e-28,1.55844997471052e-25
"gene:YGL249W",888.775727302041,-2.23985824733454,0.205465570737366,-10.9013799212016,1.13522412170729e-27,2.64061239452842e-25
"gene:YKL188C",5230.69169017513,-2.21961902197477,0.203815080825866,-10.8903571461974,1.28136777782246e-27,2.87777528860609e-25
"gene:YPL245W",1091.97620407764,2.26067650290435,0.207720431247997,10.8832650178996,1.38511010021842e-27,3.00707402757419e-25
"gene:YIL026C",6032.32496966774,-1.86335301950217,0.17142703539931,-10.8696566744085,1.60804814240728e-27,3.37845727467697e-25
"gene:YBL075C",89337.3004784201,-2.22787337900085,0.205562997185998,-10.8379105651248,2.27610063161508e-27,4.63257606678407e-25
"gene:YOL104C",1567.40931961203,-3.19691039760313,0.295144202737062,-10.8316896213991,2.43617986866014e-27,4.80813317714651e-25
"gene:YER055C",4745.93788107915,2.27766966177214,0.211144751644124,10.7872426098047,3.95477602742822e-27,7.57572243136471e-25
"gene:YKL029C",14958.0906883493,3.05807122187674,0.284277467335494,10.7573465126862,5.47232142884701e-27,1.01832084188802e-24
"gene:YDR506C",1614.88267234331,-2.46441832151591,0.233171965251346,-10.5691021596846,4.14443275370528e-26,7.29532176348176e-24
"gene:YPL153C",1105.20314432016,-1.89279214695061,0.179052831074715,-10.5711377786637,4.05544292839948e-26,7.29532176348176e-24
"gene:YHR208W",11170.7865133744,2.61132730479024,0.250685853574954,10.4167318081611,2.07977399146445e-25,3.56462315958104e-23
"gene:YIL031W",7138.10277770046,-1.70763214415729,0.164368358388104,-10.3890563908003,2.78090659465077e-25,4.64411401306678e-23
"gene:YBL063W",1970.49236078881,-1.82793420417479,0.177361593393956,-10.3062572296279,6.60226739542957e-25,1.07501418866082e-22
"gene:YLR180W",14012.8117905161,2.86278752678756,0.278348407245939,10.2849071604642,8.24214676198879e-25,1.30929516733739e-22
"gene:YOL140W",6355.21597355891,2.39330558590098,0.234881928051411,10.1893985874347,2.21127919672327e-24,3.42906224006159e-22
