Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR5482575_1	76.31069504329915	40.0	101.0	101	18.181818181818183	22.537343
SRR5482575_2	73.73089216646154	40.0	101.0	101	18.181818181818183	22.537343
SRR5482576_1	77.46693814956761	41.0	101.0	101	18.181818181818183	19.702545999999998
SRR5482576_2	74.23440162029398	40.0	101.0	101	9.090909090909092	19.702545999999998
SRR5482577_1	77.53012856980126	42.0	101.0	101	18.181818181818183	20.339422
SRR5482577_2	76.22585675343538	41.0	101.0	101	9.090909090909092	20.339422
SRR5482578_1	78.16678241986419	41.0	101.0	101	18.181818181818183	21.286934
SRR5482578_2	75.30341797084427	40.0	101.0	101	9.090909090909092	21.286934
SRR5482579_1	77.08460352631873	41.0	101.0	101	18.181818181818183	21.185758999999997
SRR5482579_2	75.96752617798445	40.0	101.0	101	9.090909090909092	21.185758999999997
SRR5482580_1	77.64795700752254	41.0	101.0	101	18.181818181818183	22.376288
SRR5482580_2	75.53485603244769	40.0	101.0	101	9.090909090909092	22.376288
