Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR5482577_2 - illumina_universal_adapter	(1, 4.42490450318598e-05)	(2, 5.8998726709146405e-05)	(3, 6.883184782733748e-05)	(4, 9.833121118191068e-05)	(5, 0.00012291401397738835)	(6, 0.000147496816772866)	(7, 0.00016716305900924816)	(8, 0.00018682930124563028)	(9, 0.00021141210404110796)	(10, 0.0002925353532661842)	(12, 0.0003785751630503561)	(14, 0.0004252824883617637)	(16, 0.0004621566925549802)	(18, 0.0005039474573072922)	(20, 0.0005875289868119163)	(22, 0.0006194866304460372)	(24, 0.0006366945924028717)	(26, 0.0006612773951983494)	(28, 0.0006809436374347313)	(30, 0.0007129012810688524)	(32, 0.0007891079697348332)	(34, 0.0009341465062281514)	(36, 0.0012168487383761445)	(38, 0.001656880908415195)	(40, 0.0024287809161931935)	(42, 0.0037390443051921536)	(44, 0.005604879037368908)	(46, 0.008161490528098586)	(48, 0.01175549629679742)	(50, 0.01759145368044382)	(52, 0.02603318816041085)	(54, 0.03690616183685062)	(56, 0.05034558012513826)	(58, 0.06707417742746082)	(60, 0.09055321237742153)	(62, 0.12223061205967406)	(64, 0.16443436789895013)	(66, 0.21485369643247482)	(68, 0.27391388014860996)	(70, 0.34385687066230297)	(72, 0.4329572393945118)	(74, 0.5474344354524923)	(76, 0.6820990291661189)	(78, 0.8304685354382244)	(80, 0.9925306628674109)	(82, 1.1815232507590432)	(84, 1.4111315454293636)	(86, 1.6835040838426971)	(88, 1.976105810676429)	(90, 2.2079240993180633)
SRR5482577_2 - polya	(1, 0.005142722344813928)	(2, 0.007433839565352447)	(3, 0.00916938544271317)	(4, 0.011170425590265053)	(5, 0.01317638229837603)	(6, 0.015501915442828218)	(7, 0.017409540939757284)	(8, 0.02004481739943249)	(9, 0.022355600862207392)	(10, 0.026227392302495125)	(12, 0.02996152004712818)	(14, 0.03436184174751869)	(16, 0.038494210897438486)	(18, 0.04274211922049702)	(20, 0.04706869251250109)	(22, 0.05086919382468194)	(24, 0.05462298781155138)	(26, 0.058548861417989165)	(28, 0.061975704127678756)	(30, 0.06555496021470031)	(32, 0.06914896598339915)	(34, 0.07218002556808154)	(36, 0.07558474375525519)	(38, 0.0792033323267495)	(40, 0.08260067567308452)	(42, 0.085816106278733)	(44, 0.08900695408158599)	(46, 0.09236496494344826)	(48, 0.09562710287440813)	(50, 0.09898265545599083)	(52, 0.10230133383338032)	(54, 0.10522668736604217)	(56, 0.10839295236609969)	(58, 0.11953633687328971)	(60, 0.14875299799571493)	(62, 0.16090673569779906)	(64, 0.1669491886249275)	(66, 0.17119709694798602)	(68, 0.17509347119106924)	(70, 0.1788472651779387)	(72, 0.18228885756930557)	(74, 0.1856517849917269)	(76, 0.1890737111408574)	(78, 0.19228668346622632)	(80, 0.19549965579159526)	(82, 0.19891666538016667)	(84, 0.20235334121097442)	(86, 0.20546306576460235)	(88, 0.20865883012801445)	(90, 0.2111466097709168)
SRR5482578_1 - illumina_universal_adapter	(1, 5.16748912736799e-05)	(2, 5.6372608662196255e-05)	(3, 7.516347821626167e-05)	(4, 0.00012683836948994157)	(5, 0.0001362338042669743)	(6, 0.00015972239120955607)	(7, 0.00018790869554065418)	(8, 0.0001973041303176869)	(9, 0.00021609499987175232)	(10, 0.0002583744563683995)	(12, 0.0003147470650305958)	(14, 0.00037111967369279203)	(16, 0.0004016548367181483)	(18, 0.0004180968475779556)	(20, 0.00045098086929757004)	(22, 0.00048386489101718454)	(24, 0.0005003069018769918)	(26, 0.0005144000540425409)	(28, 0.0005237954888195735)	(30, 0.0005355397822908645)	(32, 0.0005895635322588026)	(34, 0.000662378151780806)	(36, 0.0007304950539142931)	(38, 0.0008502868473214602)	(40, 0.0010616841298046963)	(42, 0.001510316140408008)	(44, 0.0022736952160419158)	(46, 0.0031592149437772487)	(48, 0.004789322877592424)	(50, 0.007396556028219)	(52, 0.011260428580273702)	(54, 0.016449057435890015)	(56, 0.023213770475353567)	(58, 0.03225217873085903)	(60, 0.04491487595160487)	(62, 0.06286720295182012)	(64, 0.0868607945136674)	(66, 0.11703423330010795)	(68, 0.15347442708282932)	(70, 0.19886847020806286)	(72, 0.2589593221832698)	(74, 0.3392808940921224)	(76, 0.4381631474030032)	(78, 0.5530834078782787)	(80, 0.685122150517308)	(82, 0.8423195186305366)	(84, 1.0441804348150843)	(86, 1.2924829851025046)	(88, 1.5640979579304375)	(90, 1.7826757014420207)
SRR5482578_1 - polya	(1, 0.0007046576082774532)	(2, 0.0008878685864295911)	(3, 0.0011744293471290888)	(4, 0.0015032695643252335)	(5, 0.0018368074989098947)	(6, 0.0024052313029203735)	(7, 0.003495101737056168)	(8, 0.00501246445354695)	(9, 0.00717811216965299)	(10, 0.010149418417889584)	(12, 0.012805977601095583)	(14, 0.015603468305957071)	(16, 0.01848082020642334)	(18, 0.025165672050282112)	(20, 0.03195857139407676)	(22, 0.03609491155466541)	(24, 0.040224205139171285)	(26, 0.04320255796349066)	(28, 0.04598125779879808)	(30, 0.04934247459028153)	(32, 0.05178998534969855)	(34, 0.054559289750228945)	(36, 0.05680949637932828)	(38, 0.058907027193300834)	(40, 0.06040559904023755)	(42, 0.06243971066946513)	(44, 0.06519492191782997)	(46, 0.06784208566625893)	(48, 0.0708650668057692)	(50, 0.07313876202181113)	(52, 0.07615704544393288)	(54, 0.07852704386643938)	(56, 0.08011017462636941)	(58, 0.08190940038617116)	(60, 0.08406330380880592)	(62, 0.08640981364436984)	(64, 0.0943982820635419)	(66, 0.09749877553996268)	(68, 0.10126399602685854)	(70, 0.10383364743837699)	(72, 0.10595701569798638)	(74, 0.10752135558836232)	(76, 0.10914911466348325)	(78, 0.11084029292334913)	(80, 0.11269824015050736)	(82, 0.11525379840986025)	(84, 0.11792679960392605)	(86, 0.12059275422190908)	(88, 0.12376371345915763)	(90, 0.12625115481637703)
SRR5482578_2 - illumina_universal_adapter	(1, 4.227945649664719e-05)	(2, 5.16748912736799e-05)	(3, 6.107032605071262e-05)	(4, 0.00012214065210142523)	(5, 0.00013153608687845793)	(6, 0.00015972239120955607)	(7, 0.00018790869554065418)	(8, 0.0001973041303176869)	(9, 0.0002066995650947196)	(10, 0.00025132788028562497)	(12, 0.00031944478241911214)	(14, 0.00040870141280092287)	(16, 0.00044393429321479554)	(18, 0.00046507402146311915)	(20, 0.0004956091844884754)	(22, 0.0005261443475138317)	(24, 0.000542586358373639)	(26, 0.0005613772279277043)	(28, 0.0005754703800932534)	(30, 0.0005872146735645444)	(32, 0.0006341918474497079)	(34, 0.0007046576082774532)	(36, 0.000782169945187973)	(38, 0.0009090083146779146)	(40, 0.0011321498906324413)	(42, 0.001590177336012786)	(44, 0.0023488586942581775)	(46, 0.003255518150241834)	(48, 0.004866835214502943)	(50, 0.007467021789046746)	(52, 0.011335592058489963)	(54, 0.016526569772800537)	(56, 0.02333825998614925)	(58, 0.0324729714481193)	(60, 0.04519439013622159)	(62, 0.06316550800599091)	(64, 0.08723661190474871)	(66, 0.11761675025628397)	(68, 0.1543622956692589)	(70, 0.20015094705512781)	(72, 0.26081022283434524)	(74, 0.3417589400145648)	(76, 0.44159013223792587)	(78, 0.5572949115170837)	(80, 0.6901839410034343)	(82, 0.8487248562897785)	(84, 1.0520162274191294)	(86, 1.3021109568902691)	(88, 1.5756895755866016)	(90, 1.7961910343687824)
SRR5482578_2 - polya	(1, 0.004941998692719205)	(2, 0.007741838256274953)	(3, 0.009376643907478645)	(4, 0.0115469893409732)	(5, 0.01390524347000841)	(6, 0.016305777055540267)	(7, 0.01819425944572384)	(8, 0.02078739944418487)	(9, 0.02353556411646694)	(10, 0.028082954548550768)	(12, 0.031888105633249016)	(14, 0.03658582302176537)	(16, 0.04153956600795587)	(18, 0.046122189320453574)	(20, 0.05035013497011829)	(22, 0.05478243132618347)	(24, 0.059322775182184526)	(26, 0.06436107708136832)	(28, 0.06789141169883836)	(30, 0.07153214267493854)	(32, 0.07574834403113197)	(34, 0.07956289055060724)	(36, 0.08397169831972984)	(38, 0.08889020842550646)	(40, 0.09335303994459701)	(42, 0.09730382026833925)	(44, 0.101468346733259)	(46, 0.10597110885015193)	(48, 0.11040340520621711)	(50, 0.11480751525795119)	(52, 0.11876769101647047)	(54, 0.1226527032967735)	(56, 0.12699574302245686)	(58, 0.13355845421421422)	(60, 0.14606377790244474)	(62, 0.15263588452897914)	(64, 0.15735709050443808)	(66, 0.1620007841429865)	(68, 0.1668417819118526)	(70, 0.17163110478944502)	(72, 0.17590367875430063)	(74, 0.18040174315380506)	(76, 0.18485048152073005)	(78, 0.18894219336612778)	(80, 0.19302685863544278)	(82, 0.19755310933927828)	(84, 0.2020605691735597)	(86, 0.20657272672522967)	(88, 0.21105200025518)	(90, 0.21414544715551803)
SRR5482579_1 - illumina_universal_adapter	(1, 5.192167059013557e-05)	(2, 5.664182246196608e-05)	(3, 6.136197433379658e-05)	(4, 8.968288556477963e-05)	(5, 0.00010384334118027114)	(6, 0.00012744410053942368)	(7, 0.0001416045561549152)	(8, 0.0001557650117704067)	(9, 0.00016520531551406773)	(10, 0.00017700569519364402)	(12, 0.00020296653048871178)	(14, 0.00023600759359152532)	(16, 0.0002666885807584236)	(18, 0.0002950094919894066)	(20, 0.0003091699476048982)	(22, 0.00031389009947672866)	(24, 0.00032097032728447444)	(26, 0.0003280505550922202)	(28, 0.0003563714663232032)	(30, 0.0003870524534901015)	(32, 0.00044605435188798287)	(34, 0.0006159798192738811)	(36, 0.0008921087037759656)	(38, 0.001406605257805491)	(40, 0.0023175945690687787)	(42, 0.003877604762708761)	(44, 0.006122036977764167)	(46, 0.008748801494437844)	(48, 0.012520202840030418)	(50, 0.01827170789585589)	(52, 0.026706619290817007)	(54, 0.037074432877292715)	(56, 0.05001944938578788)	(58, 0.06625677182488482)	(60, 0.08833292212943611)	(62, 0.1175152610770282)	(64, 0.155422800759699)	(66, 0.19948069833136495)	(68, 0.2504229374080957)	(70, 0.3112491745044395)	(72, 0.3889357940869619)	(74, 0.48853099858258564)	(76, 0.6064521927205913)	(78, 0.7359920406911077)	(80, 0.8793949747091903)	(82, 1.0468352821345697)	(84, 1.253186161515384)	(86, 1.4967436380259023)	(88, 1.761673962212069)	(90, 1.968416614198245)
SRR5482579_1 - polya	(1, 0.004271737444006609)	(2, 0.004800394453651625)	(3, 0.0051496856921670825)	(4, 0.005532017993785354)	(5, 0.006032354092199387)	(6, 0.006952783707206336)	(7, 0.0082933068388062)	(8, 0.010068083942614471)	(9, 0.012338476992964944)	(10, 0.015486818291475891)	(12, 0.01808290182098267)	(14, 0.021155720689544327)	(16, 0.024634472619083414)	(18, 0.030607824812884918)	(20, 0.0374898062420138)	(22, 0.04201171173522743)	(24, 0.046413253355709366)	(26, 0.04942235017400132)	(28, 0.05211519681688062)	(30, 0.05535794115282818)	(32, 0.05853696343850603)	(34, 0.06180330853381274)	(36, 0.06428374834245967)	(38, 0.06658718245591295)	(40, 0.06842568160999093)	(42, 0.07064179291381537)	(44, 0.07344084297381084)	(46, 0.07651130176643658)	(48, 0.08034642516229888)	(50, 0.08298971021052397)	(52, 0.08654870472188417)	(54, 0.08941147683214937)	(56, 0.09117681363221397)	(58, 0.09313567665902364)	(60, 0.09547451191151565)	(62, 0.09840572622392241)	(64, 0.10921487401041426)	(66, 0.11229005295491183)	(68, 0.11577352503632274)	(70, 0.11849233251449712)	(72, 0.12093501110816941)	(74, 0.12269090760449036)	(76, 0.12428395886123315)	(78, 0.125931291864502)	(80, 0.12789487504318348)	(82, 0.1304484772058438)	(84, 0.13308940217813298)	(86, 0.13582237011192283)	(88, 0.13889518898048447)	(90, 0.14128358582763073)
SRR5482579_2 - illumina_universal_adapter	(1, 4.720151871830506e-05)	(2, 5.664182246196608e-05)	(3, 6.136197433379658e-05)	(4, 8.968288556477963e-05)	(5, 0.00010384334118027114)	(6, 0.00012272394866759317)	(7, 0.0001368844042830847)	(8, 0.0001510448598985762)	(9, 0.0001557650117704067)	(10, 0.00016992546738589824)	(12, 0.00019352622674505076)	(14, 0.00022892736578377957)	(16, 0.0002666885807584236)	(18, 0.00029972964386123716)	(20, 0.000335130782899966)	(22, 0.0003422110107077117)	(24, 0.00035165131445137273)	(26, 0.00036109161819503375)	(28, 0.0003846923775541863)	(30, 0.0004177334406569998)	(32, 0.0004790954149907964)	(34, 0.0006490208823766946)	(36, 0.0009275098428146945)	(38, 0.0014490866246519656)	(40, 0.0023529957081075076)	(42, 0.003929526433298897)	(44, 0.006171598572418387)	(46, 0.008814883620643471)	(48, 0.01261932602933886)	(50, 0.01845107366698545)	(52, 0.02701814931435782)	(54, 0.03742844426768)	(56, 0.05045134328206037)	(58, 0.0668727516441587)	(60, 0.08910466696048039)	(62, 0.11849469259043303)	(64, 0.15672792275226016)	(66, 0.20126963589078872)	(68, 0.25284201524240885)	(70, 0.3144399971697969)	(72, 0.39315560986037834)	(74, 0.49400637475390896)	(76, 0.6130250042021153)	(78, 0.743615085964114)	(80, 0.8884435058474893)	(82, 1.0573706611124956)	(84, 1.2653995544837455)	(86, 1.5108616122745473)	(88, 1.7782841766490405)	(90, 1.9872547403187206)
SRR5482579_2 - polya	(1, 0.005668902398068438)	(2, 0.008916366885887827)	(3, 0.010828028393979183)	(4, 0.013074820684970503)	(5, 0.015770027403785723)	(6, 0.01834251017393335)	(7, 0.020442977756897924)	(8, 0.02319954645004694)	(9, 0.02629596607796775)	(10, 0.031004317570118685)	(12, 0.03526425463444571)	(14, 0.040680628907371216)	(16, 0.04597191915569322)	(18, 0.05066847026816457)	(20, 0.0550204502939923)	(22, 0.05948099381287213)	(24, 0.06452211601198711)	(26, 0.06985116747528375)	(28, 0.07363908935242774)	(30, 0.07742229107769988)	(32, 0.08149814221902552)	(34, 0.08500521505979558)	(36, 0.08960028290702259)	(38, 0.09471220738421503)	(40, 0.09915151021967161)	(42, 0.10306687619735502)	(44, 0.10715452771836025)	(46, 0.11180859746398512)	(48, 0.11619597862885159)	(50, 0.12038747349103707)	(52, 0.12445152425268313)	(54, 0.12818988453517288)	(56, 0.13261030676314217)	(58, 0.14012478854309635)	(60, 0.1558735752634588)	(62, 0.16364294524449183)	(64, 0.16890355450564692)	(66, 0.1736024656940542)	(68, 0.17841938067925722)	(70, 0.18312773217140815)	(72, 0.18729326619829859)	(74, 0.1918600131342946)	(76, 0.19652824333553498)	(78, 0.2007574994126951)	(80, 0.20493719389520101)	(82, 0.2092325320985668)	(84, 0.21368363531370294)	(86, 0.21832826475558417)	(88, 0.2229304128306189)	(90, 0.22620855830560518)
SRR5482580_1 - illumina_universal_adapter	(1, 8.044229677415664e-05)	(2, 8.938032974906294e-05)	(3, 0.00010278737921142237)	(4, 0.0001340704946235944)	(5, 0.00014747754408595383)	(6, 0.0001698226265232196)	(7, 0.000183229675985579)	(8, 0.0002189818078852042)	(9, 0.00025473393978482937)	(10, 0.00034187976129016574)	(12, 0.0004066805003582364)	(14, 0.0004625432064514007)	(16, 0.0005117023878133853)	(18, 0.0005496890279567371)	(20, 0.0005832066516126357)	(22, 0.0006211932917559873)	(24, 0.0006480073906807062)	(26, 0.0006569454236556126)	(28, 0.0006792905060928783)	(30, 0.0007262151792111363)	(32, 0.0007932504265229336)	(34, 0.0009653075612898797)	(36, 0.0012423865835119747)	(38, 0.001702695281719649)	(40, 0.0027082239913966072)	(42, 0.0043729326329729045)	(44, 0.006761621945516611)	(46, 0.009771504549816306)	(48, 0.013932158899635186)	(50, 0.02064685617203354)	(52, 0.029756946281706782)	(54, 0.04128030529460472)	(56, 0.05487281894119346)	(58, 0.0728449687454863)	(60, 0.09701340990963292)	(62, 0.12954114641356063)	(64, 0.17194540935475983)	(66, 0.2231000065783923)	(68, 0.28217593552603537)	(70, 0.3534723900586192)	(72, 0.4435387138385062)	(74, 0.5593152894707112)	(76, 0.6971889171251282)	(78, 0.8493343489322268)	(80, 1.0203747824482774)	(82, 1.2210917199492606)	(84, 1.465895505098969)	(86, 1.7553671100407717)	(88, 2.066931297988299)	(90, 2.3130020493122005)
SRR5482580_1 - polya	(1, 0.002422206936199606)	(2, 0.00279760432114567)	(3, 0.003199815805016453)	(4, 0.0035796822064499707)	(5, 0.0042142825476683176)	(6, 0.005000829449460072)	(7, 0.00616277373619789)	(8, 0.007521354748383646)	(9, 0.01006869414623194)	(10, 0.013545588973470487)	(12, 0.016162198126874305)	(14, 0.01946033229461473)	(16, 0.022984151794971534)	(18, 0.03053902416701108)	(20, 0.03836650654478527)	(22, 0.04279977090033879)	(24, 0.04717046902506797)	(26, 0.05018035162936765)	(28, 0.052948907343344884)	(30, 0.0558090778953149)	(32, 0.058463673688862065)	(34, 0.061285857600688734)	(36, 0.06379521035839367)	(38, 0.06616602360498756)	(40, 0.06789106396914449)	(42, 0.07013674475408968)	(44, 0.07300808784727833)	(46, 0.07594646618777878)	(48, 0.07948592724584166)	(50, 0.08218521320426336)	(52, 0.08561071434189621)	(54, 0.08827871718490574)	(56, 0.08990320467809496)	(58, 0.0917399704544382)	(60, 0.09403257591250166)	(62, 0.09693296761285874)	(64, 0.10342644856912818)	(66, 0.10681172855837393)	(68, 0.1112494619304149)	(70, 0.11416102617199064)	(72, 0.11644245908883546)	(74, 0.11804236699134368)	(76, 0.11958641218775876)	(78, 0.12129804550245331)	(80, 0.12341412480926238)	(82, 0.12638155175693128)	(84, 0.12926183288309484)	(86, 0.13208848581140892)	(88, 0.13542237211104896)	(90, 0.13768145994545655)
SRR5482580_2 - illumina_universal_adapter	(1, 6.70352473117972e-05)	(2, 7.150426379925035e-05)	(3, 7.59732802867035e-05)	(4, 9.384934623651608e-05)	(5, 0.00010725639569887553)	(6, 0.00013853951111104755)	(7, 0.00014747754408595383)	(8, 0.00017876065949812587)	(9, 0.0002189818078852042)	(10, 0.0002994241046593609)	(12, 0.00037092836845861114)	(14, 0.0004267910745517755)	(16, 0.0004804192724012133)	(18, 0.000529578453763198)	(20, 0.0005653305856628231)	(22, 0.0006033172258061749)	(24, 0.0006278968164871671)	(26, 0.0006390693577058)	(28, 0.0006614144401430658)	(30, 0.0007128081297487769)	(32, 0.0007865469017917538)	(34, 0.0009519005118275204)	(36, 0.0012267450258058887)	(38, 0.0016736466745512035)	(40, 0.002681409892471888)	(42, 0.004332711484585826)	(44, 0.006741511371323072)	(46, 0.009793849632253571)	(48, 0.01396791103153481)	(50, 0.020745174534757507)	(52, 0.029835154070237208)	(54, 0.041396499723278496)	(56, 0.05504711058420414)	(58, 0.0729969153060597)	(60, 0.0971720599949375)	(62, 0.12982492896051392)	(64, 0.1724883948579854)	(66, 0.2239938098758829)	(68, 0.28366411801635727)	(70, 0.35554824821704123)	(72, 0.4465843485747055)	(74, 0.563598841773935)	(76, 0.7024131973989609)	(78, 0.8553541141408262)	(80, 1.027569898993077)	(82, 1.229777253492626)	(84, 1.475973137278176)	(86, 1.7673842953755332)	(88, 2.0816946939546)	(90, 2.3305652841078914)
SRR5482580_2 - polya	(1, 0.005407509949818308)	(2, 0.00879055543082034)	(3, 0.010399401366303473)	(4, 0.012642847643004952)	(5, 0.015239346222215231)	(6, 0.017616862993540306)	(7, 0.019565354182069877)	(8, 0.022148445711817795)	(9, 0.0252097220057232)	(10, 0.029799401938337584)	(12, 0.03371426038134654)	(14, 0.03878212507811841)	(16, 0.04390808698922717)	(18, 0.04851340847954763)	(20, 0.05311426095338065)	(22, 0.05742239284728548)	(24, 0.062313731392802954)	(26, 0.06745086584513035)	(28, 0.07113780444727918)	(30, 0.07505936641501933)	(32, 0.07909935731967697)	(34, 0.08278406141358209)	(36, 0.08751004634906379)	(38, 0.09305609580999315)	(40, 0.09780666033615584)	(42, 0.10194273509529372)	(44, 0.10579279279923462)	(46, 0.11032884453399956)	(48, 0.11512633373328052)	(50, 0.11945010718489144)	(52, 0.12349009808954908)	(54, 0.12741389456553293)	(56, 0.13193207023434808)	(58, 0.13830712225369998)	(60, 0.14916683231821115)	(62, 0.15576086614544826)	(64, 0.16069466034759652)	(66, 0.16555695028594555)	(68, 0.1705041515375562)	(70, 0.17517650827518844)	(72, 0.17948687467733698)	(74, 0.18413912084077574)	(76, 0.188762318397046)	(78, 0.19327155603288626)	(80, 0.19739198923431805)	(82, 0.20190346137840198)	(84, 0.2063367257339555)	(86, 0.21136436928234031)	(88, 0.2162825219267825)	(90, 0.21964322232534725)
